c,a
,
그럼 장기이식 수혜자도 위헙할수 있겠네요?,네 그렇습니다
,
이유가 있나요?,만성 면역억제로 인하여 일반 인구에 비해 임상진행이 더빠르고 지속되며 중증이나 합병증의 위험이 높습니다
,
암환자는 암이 없는 환자와 비교하여 중증으로 갈 확률이 얼마나 더 높은가요?,확률이 76% 더 높습니다
,
흡연자는 비흡연자에 비해서 중증으로 진행될 확률이 높나요?,네 그렇습니다
,
이유가 뭔가요?,흡연자의 기도에 코로나19 바이러스의 인체 감염과 관련있는 수용체인 ACE2가 더많이 발현되어있는 것과 관련 있을것으로 추정합니다
,
covid-19란 무엇인가요?,SARS-CoV-2 감염에 의한 호흡기 증후군입니다.
,
covid-19의 질병 분류가 무엇인가요?,"신종감염병이며, 제1급 감염병입니다."
,
covid-19의 질병코드는 어떻게 되나요?,U07.1입니다.
,
covid-19의 병원체는 무엇인가요?,Coronaviridae에 속하는 RNA 바이러스입니다.
,
covid-19의 전파경로는 어떻게 되나요?,"현재까지는 비말, 접촉을 통한 전파로 알려져 있습니다."
,
covid-19의 잠복기는 어느 정도 되나요?,1~14일이며 평균 4~7일 정도입니다.
,
코로나19 진단 검사기준이 있나요?,검체에서 바이러스 분리하여 특이 유전자를 검출하는 방식입니다.
,
어떤 증상이 있나요?,"발열, 권태감, 기침, 호흡곤란 등입니다."
,
치료는 어떻게 하나요?,"수액보충, 해열제 등 보존적 치료에 의존합니다."
,
치료제는 아직 개발되지 않았나요?,아직 치료제는 없습니다.
,
covid-19의 정의가 어떻게 되나요?,SARS-CoV-2 감염에 의한 호흡기 증후군입니다.
,
질병 분류가 어떻게 되나요?,제1급 감염병이며 신종감염병 증후군입니다
,
질병코드는 무엇인가요?,U07.1입니다.
,
병원체는 어떻게 되나요?,Coronaviridae에 속하는 RNA 바이러스입니다.
,
전파경로는 어떻게 되나요?,"현재까지는 비말, 접촉을 통한 전파로 알려져 있습니다."
,
잠복기는 어느 정도 되나요?,1~14일이며 평균 4~7일 정도입니다.
,
진단을 위한 검사기준이 있나요?,검체에서 바이러스 분리하여 특이 유전자를 검출하는 방식입니다.
,
증상은 어떻게 되나요?,"발열, 권태감, 기침, 호흡곤란 등입니다."
,
치료는 어떻게 하나요?,"수액보충, 해열제 등 보존적 치료에 의존합니다."
,
직접적인 치료제는 없나요?,아직 치료제는 없습니다.
,
서울시에서 마스크 의무화가 시작된다는데 맞나요?,네 맞습니다
,
마스크 의무화는 언제부터 시행되나요?,10월 13일 부터 시행되요
,
단속도 하나요?,단속은 11원 13일 부터합니다
,
그럼 한달 동안 계도기간도 있는 건가요?,네 맞습니다
,
마스크를 쓰지 않으면 벌금도 있나요?,네 있습니다
,
벌금은 얼마인가요?,10만원에서 300만원이하입니다
,
벌금이 가격차가 많이 나는 데요?,네 맞습니다
,
어떤 장소에서 의무적으로 마스크를 써야하나요?,"버스,지하철과 같은 대중교통 이용할 떄와 병원 요양시설,집회등에서는 마스크를 의무적으로 착용핫야 합니다"
,
1단계일떄와 2단계 일떄도 똑같이 적용되나요?,아닙니다
,
그럼 1단계 일땐 어떻게 적용되나요?,1단계 일땐 고위험 시설에서 의무적용됩니다
,
2단계일땐 어떻게 적용되나요?,2단계 일떄는 중위험 시설까지 마스크 작용이 의무화됩니다
,
고위험시설은 어떤 곳이 있는 지 궁금해요,"휴흥주점,노래방,실내스탠딩 공연장,뷔폐,대형학원,방문판매,유통물류센터,실내피트니센타등이 있습니다"
,
중위험 시설은 어떤 곳이 있죠?,"pc방,식당,카페,중소형학원,오락실,예식장실내워터파크,공연장,영화관,목욕탕,사우나등이 있습니다"
,
마스크 종류가 다양하잖아요?,네 맞습니다
,
"비말마스크, 망사마스크,밸브형 마스크,천마스크 등 다양한데요 어떤 마스크든 착용하면 되나요?",아닙니다
,
착용해도 단속되는 마스크가 있나요?,네 망사마스크와 벨브형 마스크는 단속대상입니다
,
마스크를 턱에 걸치는 사람은 마스크 단속대상에 포함되나요?,네 맞습니다
,
그런데 아이들은 마스크 착용하기 힘든데요,내 맞습니다
,
아이들도 단속대상이 되나요?,14세 미만 어린이나 마스크착용하기 어려운 의학적 소견을 받은 분은 대상에서 제외 됩니다
,
식당가서 밥먹을 마스크 쓰기 어려운데요,네 그렇죠
,
식당가서 밥 먹으면 안되나요?,아닙니다 음식섭취시에는 마스크 내리시고 이야기 하실떈 착용하시면 됩니다
,
목욕탕이나 수영장에서도 마스크 쓰기가 힘든데요,네 맞습니다 목욕할떄 물에 있는 경우 단속에서 제외됩니다
,
결혼식장에서 신랑신부 사진찍을 때도 마스크 써야하나요?,사진촬영시에는 단속대상에서 제외됩니다
,
버스탈때 마스크 안쓰고 타면 벌금이 얼마인가요?,25만원이상 100만원이하의 과태료가 부과됩니다
,
클럽이나 노래 연습장 등에서 마스크를 쓰지 않으면 벌금은요?,300만원 이하의 벌금이 부과됩니다
,
손님이 마스크 안쓰는 것은 가계주인이 손님 관리를 해야 되잖아요?,네 맞습니다
,
마스크를 썼는데도 감염될 수 있나요?,"네, 마스크를 썼어도 감염될 수 있습니다. "
,
어떻게 감염되나요?,바이러스가 마스크 표면에 붙을 경우 일주일 넘게 생존한다는 연구 결과가 있습니다. 
,
마스크를 통과한 건 아니네요?,"네, 마스크를 통과하지는 못합니다만, 마스크 표면에 붙어 있습니다. 마스크를 벗을 때 마스크 표면을 만지고, 그 손으로 다시 눈을 비비거나 코, 입을 만지면 감염될 수 있습니다."
,
코로나에 걸리면 호흡기만 문제가 되나요?,다른 기관에도 전이가 되는 것으로 알려져 있습니다. 
,
구체적으로 어떤 기관인가요?,"심장으로 전이될 수 있으며, 이 경우 온몸의 혈관을 공격해 복합 장기 부전을 초래할 수 있다는 연구 결과가 있습니다. "
,
"저기 혹시, 아이를 갖는 데에도 문제가 있을 수 있나요?","네, 코로나 바이러스가 생식세포를 파괴하거나 숫자를 크게 줄여 불임이 될 수도 있다고 합니다. "
,
특별히 감염 위험이 높은 곳이 있을까요?,비말이 주요 전파 매개이므로 좁은 실내 공간이 위험합니다. 
,
실내 공간에서 어떤 일을 하면 제일 위험한가요?,비말이 많이 발생할 수 있는 고강도 운동을 할 경우 매우 위험한 것으로 나타났습니다.
,
그러면 좁은 실내공간에서 고강도 실내 운동시 감염 위험이 높다고 볼 수 있겠네요?,"네, 감염위험이 높다고 할 수 있습니다."
,
실제 사례가 있나요?,천안 피트니스 댄스 수업에서 대량 감염의 원인이 되었습니다. 
,"예, 질병 관리 본부 입니다. "
,
"제가 마스크가 필요한데요, 코로나 마스크 비말 써진 것을 사야하나요?","예, 그렇습니다. 코로나는 비말이나 접촉으로 인한 감염이기때문에 차단 마스크를 써야 합니다."
,
어떤 건지 종류가 너무 많습니다. KF94를 써야하나요?,KF94는 의심환자를 돌볼 경우에 쓰시면 됩니다. 
,
KF80은요?,의료기관 방문할 경우에 쓰십니다.
,
그리고 다른 경우가 있나요?,KF80은 기침이나 호흡기 증상이 있는 경우에 쓰십니다. 
,
"아, KF80은 그렇군요.","그리고, KF80은 감염 전파가 높은 직업군 종사자님게서 스십니다. "
,
그 직업은 어떤거예요?,"대중교통 운전기사, 판매원, 역무원, 집배원, 택배기사가 해당됩니다. "
,
많은 사람 만나는 직업이네요.,예 그렇습니다. 사람들을 많이 만나는 직업입니다.
,
KF80은 또 어떤 분이 써야 하죠?,"건강 취약계층, 기저질환자등이 환기가 잘 안되는 공간에서 2미터 이내 다른 사람과 접촉하는 경우 써야 합니다. "
,
착용은 코까지 가려야 하나요?,예 그렇습니다. 착용전 손을 깨끗이 씻고 입과 코를 완전히 가리셔야 합니다.
,
"예, 알겠습니다. 감사합니다.",
코로나 바이러스 퇴치효과 질문할께요,예 말씀해주세요
,
오늘 기사를 봤는데 빨간약이 효과있다고 봤어요,예 알코올로 닦아내도 바이러스는 박멸됩니다.
,
몸에 들어온 바이러스를 빨간약으로 퇴치는 불가능한가요?,예 몸에 들어왔을 때와 밖의 바이러스는 다를 이야기 입니다.
,
지금 연구 중이라는데 보조 치료제가 될 수 있을까요?,포비돈은 마시거나 할순 없어서 연구 중이며 만약연구결과가 공식 인정 받을경우에는 저렴한 가격으로 대량 공급 할 수 있는 보조치료제가 될 가능성이 있습니다.
,
코로나 예방 하려면 어찌 해야하나요?,반드시 흐르는 물에 비누로 꼼꼼히 손을 잘 씻어야 합니다.
,
공용화장실 비누 쓰면 감염되지않나요?,공용화장실 비누를 쓰셨어요?
,
비누를 쓰지는 않았지만 혹시나 해서요, 그렇군요 되도록이면 개인 비누나 세정제를 휴대하시는것이 좋습니다.
,
면역력을 높이면 바이러스 퇴치 효과가 있겠죠?,"예, 바리러스 퇴치 효과가 있습니다."
,
비타민이 효과 있을런지요,면역력이 약해지면 바이러스에 대항하는 힘이 떨어지는 것은 물론 다양한 질병에 노출 될수 있어 주의가 필요합니다.
,
면역력이 약해지면 안되겠네요.,물도 자주 마셔주시면 좋습니다.
,
요즘 금지된게 많아서 그러는데 정리해서 알려주실 수 있나요?,어떤 부분을 안내해드릴까요?
,
마스크는 매일 쓰는데 어떤걸 써야 해요?,비말차단마스크 착용을 권고하고 있습니다.
,
천 마스크도 가능한가요?,"네, 가능합니다. "
,
비말차단마스크들이 비싸더라고요. 천마스크 세탁해서 써도 되나요?,"네, 가능합니다. 가능하면 두 개 이상 가지고 다니면서 교체해주시는 게 좋습니다."
,
그럼 사용한 마스크는 어디에 두나요?,사용해서 젖은 마스크는 지퍼백이나 비닐에 보관하셨다가 집에서 바로 세탁해 주세요.
,
일반 세탁물이랑 같이 빨아도 될까요?,"네, 괜찮습니다."
,마스크만 세제를 이용하여 손빨래 해주셔도 좋고요.
,
또 어떤 주의사항이 있을까요?,"외출 후 30초 이상 손을 씻어주시고, 씻지 않은 손으로 음식이나 눈, 코, 입을 만지지 말아주세요."
,
"네, 그러겠습니다.",기침이나 재채기를 하실 땐 휴지나 옷소매로 입과 코를 꼭 가려주세요.
,
"네, 알겠습니다.",더 궁금하신 사항은 없으신가요?
,
"네, 없어요. 감사합니다.",감사합니다. 상담사 OOO 이었습니다.
,
여쭤볼게 있어서 전화 드렸어요.,"네, 무엇이 궁금하십니까?"
,
요즘 코로나 무증상자가 많다고 하잖아요.,네.
,
그럼 무증상자한테도 전염될 수 있는 건가요?,초기에 경미한 증상을 가지고 있거나 증상을 못 느끼는 사람의 경우 전염이 가능하다고 합니다.
,하지만 무증상 환자의 경우 아직 연구 결과가 정확하게 알려진 바가 없습니다.
,
"자주 가는 식당에서 확진자가 나왔다고 하는데요,",
며칠 문 닫았다가 직원 분들은 출근을 하길래 불안해서 여쭤봤어요.,확진자와 밀접 접촉한 적이 없는 직원은 근무 재개가 가능하고요.
,동선에 포함된 곳은 방역조치와 검사가 이루어지니 안심하셔도 됩니다.
,
소독만으로 거기는 안전한가요?,소독은 표면에 있는 바이러스를 죽이는 과정이므로 방역이 됩니다.
,
바이러스는 체외에서 얼마 동안 살아있나요?,코로나 바이러스는 3시간~7일까지 생존하는 것으로 보고되고 있습니다.
,
생존력이 길군요.,청소와 소독을 통해서 감염 위험을 낮출 수 있습니다.
,
음식을 통해서 전파되지는 않죠?,그렇지는 않습니다.
,
회사 같은부서에서 확진자가 나와서 검사를 받으려고 하는데 대중교통 이용해도 되나요,검사는 회사나 집과 가까운 도보로 이용 가능한곳이거나 자차를 이용하시기 바랍니다
,
차가 없어서 차로 이동은 안되는데 어떻게 하죠,걸어서 이동 가능한 곳으로 가시면 됩니다
,
회사가 어디에 위치해 있나요,
등촌동입니다,
가까운 보건소는 어디에 있나요,강서구 보건소가 있습니다
,
네,
검사비용은 얼마인가요,병원마다 상이 합니다 10만원정도 예상합니다
,
정확한 금액을 알 수 없나요,출발하시기전 병원에 전화해서 확인 해주시기 바랍니다
,
네,
검사는 어떻게 하나요 ,면봉과 비슷하 도구를 이용해 코점막끝을에서 채취해 검사합니다
,
검사하면 결과는 언제 알 수 있나요,6시간~24시간 소요 됩니다
,
바로 아는 방법은 없어요,현재로서는 불가능 합니다 
네,
안녕하세요,안녕하세요
,
서울 강서구에 드라이브스루 선별진료소가 있나요,네 마곡동 이대서울병원이 있습니다
,
목감기가 일주일째 지속되고 있어요 코로나 일까요,코로나 증상이 감기증상과 비슷합니다
,병원에 가 보셨나요
,
네 병원에 다녀 왔어요,목감기가 외에 다른 증상이 있으신가요
,
네 몸살 증상도 있어요,열은 있나요
,
아니오,
열은 없지만 코로나 증상과 겹치는 부분이 있어서 불안해요,아 네
,
열이 없어도 코로나 일 수 있나요,네 하지만 보통은 열을 동반한 근육통을 호소합니다.
,
또 다른 증상도 있나요,후각이 둔해지는 경우도 있습니다
,
아 그렇군요 감사합니다,네
,
안녕하세요 천식환자인데요~,네 안녕하세요
,
제가 천식이 있어 마스크 쓰는게 너무 힘이듭니다.,마스크 끼고 호흡이 어려우시군요.
,
네.. 조금만 오래 써도 너무 힘이드네요.,
어떤 마스크를 착용해야 좀 괜찮을까요?,잠시만 기다려 주시겠어요?
,
네,기다려주셔서 감사합니다.
,KF80이나 비말차단용 마스크를 우선적으로 착용 부탁드립니다.
,
그걸 착용해도 힘드니깐 물어보는거죠.,
천으로 된 항균 마스크 이런 건 안되나요?,차단 효과가 낮아서 권장 드리지 않습니다.
,
착용하고 걷다보면 호흡도 딸리고 머리도 아프고..,많이 힘드시겠어요..
,
네.. 밖에 나가기가 두려워요.,불편하시겠지만 외출시에는 KF80이나 비말차단용 마스크를 착용해주세요.
,
아휴..방법이 없는건가요?,증상이 발생되면 개별 공간에서 마스크를 바로 벗으시고 휴식을 취해주세요
,
빨리 코로나가 끝나야지 너무 힘드네요.,
안녕하세요 고3학생인데요,네 안녕하세요
,
수능때 마스크 필수인가요?,네.. 필수입니다.
,
제가 만성 천식을 앓고 있어서요..,"아, 그러시군요.."
,
지난번 시험볼때 숨이 차서 머리가 안 돌아가던데...,
수능때 천식환자에 대한 방안이 있을까요?,
얼마남지 않아서 정말 급합니다.,원칙적으로 실내공간에서는 마스크 착용이 필수입니다.
,
우리같은 사람 고려도 안해주고 짜증나요.,KF80이나 비말차단용 마스크를 우선적으로 착용 부탁드립니다.
,
그걸써도 답답하니깐 그렇죠.,"죄송합니다만, 현재로서는 다른 방법이 없을 것 같아요."
,
결국 무슨 마스크든 써야 된다는거죠?,네.. 그렇습니다.
,
너무 우울해요..시험이고 뭐고 다 포기하고 싶어요,힘드시겠지만 그동안 노력한게 있으시니 끝까지 잘 준비하셨음 좋겠어요.
,
한번밖에 없는 시험인데 어쩌라는건지..,에고..명확한 도움을 못드려 죄송합니다.
,
안녕하세요 3살 아이들 둔 엄마인데요,네 안녕하세요
,
아이 마스크 씌우기가 너무 힘드네요,아이 마스크 착용 말씀이신가요?
,네.. 계속 벗고 안 쓰려고 하고..
,
어린아이에게도 잘 씌울 수 있는 방법이 있을까요?,
어린이집에서도 계속 벗어서 걱정돼요.,제가 아이에게 했던 방법을 좀 알려드려도 될까요?
,
네. .부탁드려요.,저는 아이가 익숙해질 수 있도록 마스크쓰는 모습을 자주 보여줬어요.
,
아.. 네…,그리고 마스크 가지고 놀이도 많이 했구요.
,
어떤 놀이요?,마스크를 스티커로 꾸민다거나 그림을 그리기도 했구요.
,
아.. 그것도 방법이네요.,네.. 마스크 관련 영상들도 자주 보여줬어요.
,
그렇게 하니깐 진짜 잘 쓰던가요?,네.. 익숙해지니 전보다는 좋아지더라구요.
,
네. 저도 오늘 시도해 봐야겠어요.,네.. 도움되셨음 좋겠습니다.
,
안녕하세요 주부인데요,네 안녕하세요
,
마스크 있잖아요~ 또 써도 돼요?,
마스크도 비싼데 한번 쓰고 버리긴 너무 아까워서..,마스크 재사용 말씀이신가요?
,
네.,원칙적으로 재사용은 안하시는게 좋습니다.
,
언제는 재사용 해도 된다고 하지 않았나요?,잠깐 깨끗이 썼을 경우엔 재사용 가능하나 재사용하게 되면 차단 효과가 많이 떨어집니다.
,
가족이 매일 사용하니깐 마스크비도 무시 못하겠어요.,네.. 맞습니다.
,
죽게 드라이기로 말림 안되나요?,필터가 손상될 수 있어서요..
,
햇빛에 말리는건요?,
빨래도 햇빛에 말림 살균되잖아요~,잠시만요 좀 찾아보겠습니다.
,
네..,바이러스가 자외선에 한시간 노출되면 사멸한다는 연구보고가 있습니다.
,겉면이 햇볕방향으로 말리되 필터 손상을 최소화하기 위해 한시간 이상 건조는 안하시는게 좋을 것 같습니다.
,
아.. 그렇게라도 재사용 해야되겠네요.,
안녕하세요 코로나 걸림 죽나요?,네 안녕하세요.
,
친구들이 걸리면 죽는데요,그렇지 않고요~ 얼마든지 완치될 수 있습니다.
,
약 없어서 죽는다던데요?,증상을 완화할 수 있는 약들이 있습니다.
,
치료제는 없는 거 아니에요?,렘데시비르가 현재 치료제로 쓰이고 있습니다.
,
그게 뭔데요?,에볼라 바이러스 치료제입니다.
,
효과가 있는 건가요?,네.. 
,
다른 치료제는 없나요?,네.. 현재까지 직접적인 치료제는 없습니다.
,
언제 개발되나요?,임상이 필요한거라 시간은 좀 더 걸릴 것 같습니다.
,
안 걸리려면 어떻게 해야 하나요?,마스크 착용 및 손씻기 손소독 등 개인 방역을 철저히 해주십시요.
,
저는 잘하고 있어요. 제 친구들이 문제지..,네..
,
식당하는데요 마스크 쓰는거 바뀐다고 하던데 무슨 얘기죠?,11월6일부터 음식점 등 식품 취급시설 종사자 마스크 착용이 의무화 됐습니다
,
지금도 마스크 쓰고 있는데요?,현재까지는 위생모 착용만 의무였으나 마스크와 위생모착용으로 바뀌면서 위반시 과태료가 부과됩니다
,
과태료가 있다고요?,네 마스크 미착용 위반시 1차 20만원
,"2차 40만원, 3차 60만원의 과태료가 부과됩니다"
,
마스크는 기존에 쓰던대로 쓰면 되는거구요?,"네, 그러나 음식점 등에서 많이 사용하고 있는 투명 플라스틱 마스크나 벨브형 마스크, 망사마스크는 인정되지 않습니다"
,
망사마스크도 안된다구요?,"네, 망사마스크의 경우 비말 차단 기능이 없으므로 불가합니다"
,
일반 마스크 쓰고 음식하다보면 숨 막히는데 큰일났네요,코로나 전염 예방을 위해 부탁드립니다
,
손소독제 얘기도 있던데 그건 뭔가요?,지금까지는 손 소독 장치 구비 의무가 없었으나 
,감염병 유행 시 손 소독 장치 또는 용품을 구비해야합니다
,
이것도 벌금 내나요?,1차 위반시에는 시정명령으로 끝나지만
,"2차 위반시 영업정지 7일, 3차 위반시 영업정지 15일 입니다"
,
벌금도 아니고 영업정지요? 주변에도 얘기 해줘야겠네요.,"예, 질병 관리 본부 입니다. "
,
제가 마스크가 필요한데 코로나 마스크 비말 써진 것을 사야합니까?,네. 코로나는 비말이나 접촉으로 인한 감염이기 때문에 차단 마스크를 써야 합니다.
,
어떤 건지 종류가 너무 많습니다. KF94를 써야합니까?,KF94는 의심환자를 돌볼 때에 쓰시면 됩니다. 
,
KF80은 어떻습니까?,의료기관 방문할 경우에 씁니다.
,
그리고 다른 경우가 있습니까?,KF80은 기침이나 호흡기 증상이 있는 경우에도 씁니다. 
,
"아, 알겠습니다.","그리고, KF80은 감염 전파가 높은 직업군 종사자분들이 씁니다. "
,
그 직업은 어떤겁니까?,"대중교통 운전기사, 판매원, 역무원, 집배원, 택배기사가 해당됩니다. "
,
많은 사람 만나는 직업이군요.,네 그렇습니다. 
,
KF80은 또 어떤 분이 써야합니까?,"건강 취약계층, 기저질환자등이 환기가 잘 안되는 공간에서 2미터 이내 다른 사람과 접촉하는 경우 써야 합니다. "
,
착용은 코까지 가려야합니까?,예 그렇습니다. 
,
알겠습니다. ,
코로나 바이러스 퇴치효과 질문하려 합니다.,예 말씀해주세요
,
오늘 기사를 봤는데 빨간약이 효과있다고 봤습니다.,예 알코올로 닦아내도 바이러스는 박멸됩니다.
,
몸에 들어온 바이러스를 빨간약으로 퇴치는 불가능합니까?,예 몸에 들어왔을 때와 밖의 바이러스는 이야기가 다릅니다.
,
지금 연구 중이라는데 보조 치료제가 될 수 있습니까?,포비돈은 마시거나 할순 없어서 연구 중이며 만약연구결과가 공식 인정 받을경우에는 저렴한 가격으로 대량 공급 할 수 있는 보조치료제가 될 가능성이 있습니다.
,
코로나 예방 하려면 어떻게 해야합니까?,반드시 흐르는 물에 비누로 꼼꼼히 손을 잘 씻는것이 최선의 예방입니다.
,
공용화장실 비누 쓰면 감염되지 않습니까?,쓰셨습니까?
,
혹시나 해서 물어봅니다., 그렇군요. 되도록이면 개인 비누나 세정제를 휴대하시는것이 좋습니다.
,
면역력을 높이면 바이러스 퇴치 효과가 있습니까?,예 그렇습니다.
,
비타민도 효과 있습니까?,면역력이 약해지면 바이러스에 대항하는 힘이 떨어지는 것은 물론 다양한 질병에 노출 될수 있어 주의가 필요합니다.
,
알겠습니다.,물도 자주 마셔주시면 좋습니다.
,
안녕하십니까? 코로나 치료약상품이 팔려도 됩니까?,판매자가 고객님 본인 이십니까?
,
전혀 아닙니다. 인스타그램에서 싸게 판매하고 있습니다.,코로나 치료 약은 아직 개발된 것이 없습니다.
,
"그렇다면, 지금 판매 중인 치료제는 어떤것 입니까?",거짓 판매입니다. 구매하시면 불이익이 발생할 수 있어요.
,
좋은 정보 감사합니다.,"네, 질병관리청 상담원 OOO입니다."
,
여행 갈라고 하는데 코로나 시국 때문에 심히 불안하긴 한데 갔다와도 되나요?,국내 또는 국외 중 어디로 가나요?
,
대만으로 가요.,방문 목적이 무엇입니까?
,
단지 놀러갈라구요.,말씀하신 지역은 여행목적으로는 여행이 가능해요.
,
확진자가 엄청 나오는 데 인데 말씀입니까?,입국 또는 출국 금지에 대한 법이 없어요.
,
"혹시, 코로나와 담배는 연관이 있나요?","공통으로, 폐와 연관되어 있습니다."
,
"그럼, 전자담배를 피우고 있으면 코로나에 걸릴 리스크가 증가하나요?","완벽하게, 검증된 것이 없어요."
,
코로나19에 관련하여정보를 얻는 방법에는 어떤것이 있나요?,무슨 정보를 얻고 싶습니까?
,
마스크 재고 현황 정보입니다. ,마스크 관련 정보는 질병관리청 홈페이지에 접속하시면 확인하실 수 있습니다.
,
그건 저도 찾는데요. 홈페이지 말고 정리된 파일은 없나요?,정리된 파일은 제공하고 있지 않아요.
,
질병관리청인가요? 자가격리와 관련되서 궁금한 것이 있습니다.,자가격리에 대해서 말씀이시군요?어떤것과 연관된 질문이십니까?
,
끼니는어떻게 해야 하나요?,개별적으로 해결해야 합니다.
,
"혹시, 정부 기관의 지원은 아예 없나요?","아하, 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 국가에서 전달합니다."
,
직장 상사가코로나 감염 증세가 발생하고 있습니다.,어떤 증세가 나타나고 있는 중입니까?
,
열이 많이 나고 기침을 하고 폐를 잡고 있습니다. 어떻게 해야 하나요?,"먼저, 병원으로 보내야 해요."
,
저는 어떻게 해야 합니까?,빠르게 보건소로 가셔서코로나 검사를 받아서 확인해야 합니다.
,
코로나 시국의 삶이 힘들어요.,국가에서 최선을 다해서 코로나를 저지하고 있습니다.
,
코로나19에 관하여 정보를 얻고 싶은데요?,얻고 싶은 정보가 무엇입니까?
,
마스크 보유 재고 정보입니다.,그 정보는 질병관리청 홈페이지에 접속하시면 확인하실 수 있습니다.
,
일자별 파일로 정리된 정보는 없나요?,정리되어 있는 파일 자료는 제공하지 않습니다.
,
질병관리청 상담센터 맞나요? 자가격리에 대하여 문의가 있어요.,자가격리에 대한 말씀이십니까?상세하게는 어떤 것 인가요?
,
아침은 어떻게 해야 먹을 수 있나요?,개별적으로 해결해야 합니다.
,
"설마, 국가의 지원은 전혀 없습니까?","아하, 자가격리에 들어가시게 되면 2주치 생필품을 거주지에 전달해드려요."
,
학교 학생이코로나 증세가 나타나고 있습니다.,어떤 증상이 나타나고 있습니까?
,
폐를 부여잡고 아파하는 모습이 자주 보여요. 어떻게 대응을 해야 되나요?,"먼저, 신속하게 병원으로 보내야 합니다."
,
저는 어떻게 해야 합니까?,빠르게 보건소에 가셔서코로나 진단을 받아서 확인해봐야 합니다.
,
코로나 시국의 생활이 힘들어요.,본 기관에서는 최대한 코로나를 저지하기 위하여 노력하고 있습니다.
,
코로나19 관련하여 정보를 얻는 방법에는 무엇이 있나요?,어떤 정보를 얻고 싶으십니까?
,
공적 마스크 공급 정보입니다.,그것과 관련된 정보는 질병관리청 홈페이지에 들어가시면 있습니다.
,
아니요. 일자별 파일로 정리된 정보는 없나요?,정리되어 있는 파일은 제공하지 않습니다.
,
질병관리청 맞나요? 자가격리에서 궁금한게 있는데요.,자가격리에 대해서 말씀이십니까?상세하게는 어떤 것 인가요?
,
끼니는어떻게 해야 합니가?,개별적으로 해결해야 합니다.
,
"설마, 국가 기관의 지원은 아예 없습니까?",아니요. 자가격리에 들어가시면 기본적으로 2주치 물품을 정부에서 지원합니다.
,
옆집 아줌마가코로나 감염 증상이 발생하고 있습니다.,어떤 증세가 나타나고 있는 중입니까?
,
열이 38도를 넘어가고 있습니다. 어떻게 해야 합니까?,"일단, 병원으로 방문하도록 안내해야 합니다."
,
저는 무엇을 해야 합니까?,가까운 보건소로 가셔서 코로나 진단을 받으셔야 합니다.
,
코로나 시국의 삶이 힘이 듭니다.,국가에서는 최대한의 자원을 활용하여 코로나를 방어하고 있습니다. 
,
여보세요. 코로나19 치료제상품을 판매해도 됩니까?,판매자가 고객님이십니까?
,
아닙니다. G마켓에서 판매하고 있길래요.,코로나 치료 약은 현재 개발되지 않았습니다.
,
"그럼, 지금 판매하고있는 치료제는 무엇인가요?",거짓 판매입니다. 구매 하시는 것을 반대해요.
,
고마워요.,"감사의 인사를 올리며, 질병관리청 OOO입니다."
,
여행 갈려고 하는데 코로나 시국 때문에 많이 불안하긴 한데 갔다와도 됩니까?,국내 또는 국외 중 어디로 가나요?
,
태국에 갑니다.,방문 목적이 무엇입니까?
,
그냥 여행이요.,말씀하신 국가는 방문이 가능해요.
,
확진자가 엄청 나오는 데도요?,원칙상으로는 괜찮습니다.
,
담배와 코로나는 관계가 있나요?,"교점으로, 폐라는 공통점이 있습니다."
,
담배를 태우면 코로나에 걸릴 위험이 있나요?,"완벽하게, 증명된 연구가 없어요."
,
코로나에 관련하여정보를 얻고 싶은데요?,어떤 정보가 필요하십니까?
,
공적 마스크 재고 정보입니다.,마스크와 관련된 정보는 질병관리청 홈페이지에 접속하셔서 상세 메뉴에 들어가시면 있습니다.
,
그건 저도 찾는데요. 정리되어 있는 것은 없나요?,정리된 자료는 제공하지 않고 있습니다.
,
질병관리청입니까? 자가격리에 대하여 궁금한게 있어요.,자가격리에 대하여 관련련된 말씀이시군요?어떤것이 궁금하신가요?
,
점심은 어떻게 해결합니까?,개별적으로 알아서 해결해야 해요.
,
"혹시, 국가의 도움은 야예 없나요?",아니요 있습니다. 자가격리에 들어가시면 2주치 생필품을 국가에서 전달해드립니다.
,
옆집 아저씨가코로나 증상이 발생하고 있어요.,어떤 증상이 나타나고 있나요?
,
열이 많이 나고 기침을 하고 폐를 잡고 있어요. 어떻게 대응을 해야 되나요?,"우선, 신속하게 병원으로 보내야 해요."
,
저는 어떻게 해야 하죠?,빨리 보건소로 가셔서코로나 진단을 받아서 확인해야 합니다.
,
코로나 시국의 삶이 힘들어요.,어려운 시대에 잘 버텨주셔서 아주 감사합니다.
,
코로나 관하여 정보를 얻고 싶습니다.,얻고자하는 정보가 무엇입니까?
,
마스크 재고 정보에요.,그 정보에 대한 내용은 질병관리청 홈페이지에 들어가시면 있습니다.
,
아니요. 일자별 파일로 정리된 정보는 없나요?,정리되어 있는 정보는 미제공 하고 있어요.
,
질병관리청인가요? 자가격리와 관련되서 문의가 있는데요.,자가격리에 대해서 말씀이십니까?어떤것과 관련되어 있나요?
,
저녁은 어떻게 먹어야 하나요?,개인이 해결해야 합니다.
,
정부의 도움은 전혀 없나요?,아니요 있습니다. 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 국가에서 지원해드려요.
,
