,고객질문(요청),상담사답변
3217,반갑습니다. 코로나19 치료약상품을 팔아도 됩니까?,어려운 시대에 잘 버텨주어서 감사합니다.
3218,"그렇다면, 판매하고있는 백신은 어떤것 인가요?",그 정보는 질병관리청 홈페이지에 들어가시면 있습니다.
3219,여행 다녀올라고 하고 싶은데 코로나19 때문에 불안하긴 한데 가도 됩니까?,양식이 있는 자료는 미제공 하고 있습니다.
3220,확진자가 엄청 나오는 데도요?,개인이 스스로 해결해야 합니다.
3221,"혹시, 코로나와 전자담배는 관계가 있나요?",있어요. 자가격리에 들어가시면 2주치 생필품을 정부에서 지원하도록 하고 있습니다.
3222,"그렇게 된다면, 전자 담배를 피우면 코로나에 걸릴 리스크가 증가합니까?","일단, 증상이 심하시면 병원으로 보내야 해요."
3223,코로나 관하여 정보를 얻을 방법은 어떤 것이 있습니까?,가까운 보건소에 가셔서코로나 진단을 받아서 이상유무를 확인해야 합니다.
3224,일자별 파일로 정리된 정보는 없습니까?,국가에서는 최대한 노력하고 있습니다.
3225,질병관리청 맞습니까? 자가격리에 대해서 궁금한게 있어요.,코로나 치료 약은 개발되지 않았어요.
3226,음식은 어떻게 해야 먹을 수 있나요?,거짓 판매입니다. 구매하시면 불이익이 발생할 수 있어요.
3227,"혹여나, 국가의 지원은 전혀 없습니까?",이상 질병관리청 OOO이에요.
3228,직장 상사가코로나 감염 증세가 나타나는데요.,위 지역은 방문이 가능해요.
3229,저는 어떻게 해야 하나요?,출극 및 입국 금지 공지를 받은적이 없습니다.
3230,코로나 시대에 삶이 힘들어요.,"서로, 폐라는 것이 있습니다."
3231,코로나 관하여 정보를 얻고 싶습니다.,"정확히, 증명된 연구가 없다고 알고 있습니다."
3232,아니요. 그것말고 정리된 파일은 없습니까?,마스크 관련 정보는 질병관리청 홈페이지에 접속하셔서 상세 메뉴에 들어가시면 있어요.
3233,질병관리청 상담센터인가요? 자가격리에 대해서 궁금한게 있어요.,정리되어 있는 정보 파일은 미제공 하고 있어요.
3234,식사는 어떻게 해야 먹을 수 있나요?,개별적으로 알아서 해결해야 해요.
3235,"혹여나, 기관의 도움은 전혀 없습니까?",아니요 있습니다. 자가격리 하시면 2주치 생필품을 정부에서 지원하도록 하고 있습니다.
3236,학교 선생님이코로나 증세가 발생하고 있어요.,"일단, 병원으로 방문하도록 안내해야 해요."
3237,저는 무엇을 해야 합니까?,근처 보건소에 가셔서코로나 진단을 받아야 해요.
3238,코로나 시대에 삶이 힘들어요.,정부에서는 최선을 다하고 있습니다.
3239,안녕하세요 코로나 치료제상품을 팔아도 됩니까?,코로나 치료 약은 개발되지 않았습니다.
3240,지금 판매 중이고 있는 약은 어떤것 인가요?,거짓 판매에요. 구매하시면 절대 안되요.
3241,여행 갔다올라고 하고 싶은데 코로나 때문에 불안하긴 한데 다녀와도 되나요?,감사합니다. 질병관리청 상담원 OOO입니다.
3242,매일 확진자가 300명 이상씩 나오는데 말씀입니까?,위 지역은 방문이 가능합니다.
3243,"혹시, 담배와 코로나는 무슨 관계가 있습니까?",입국 또는 출국 금지에 대한 법이 없어요.
3244,전다담배를 태우면 코로나에 걸릴 리스크가 있나요?,"교집합으로, 폐와 관련이 있다는 공통점이 있습니다."
3245,안녕하세요 코로나19 치료제상품을 판매해도 됩니까?,"정확하게는, 판명된 것이 없다고 알려져 있어요."
3246,"그렇다면, 현재 판매하는 백신은 무엇입니까?",코로나 치료 약은 현재 개발된 것이 없어요.
3247,여행 갈려고 하고 싶은데 코로나 때문에 좀 불안하긴 한데 가도 됩니까?,허위 판매입니다. 구매 하면 안됩니다.
3248,확진자가 엄청 나오는 데도요?,"네, 상담원 OOO이에요."
3249,"혹시, 코로나와 전자담배는 무슨 연관이 있나요?",말씀하신 국가는 해당 목적으로 방문이 가능해요.
3250,"그럼, 담배를 태우면 코로나에 걸릴 위험이 증가하나요?",규칙상으로 문제되는 것은 없습니다.
3251,코로나에 관련하여정보를 얻는 방법에는 무엇이 있습니까?,"공통으로, 폐라는 공통점이 있습니다."
3252,홈페이지 말고 정리된 파일은 없습니까?,"완벽하게는, 검증된 것이 없다고 알려져있습니다."
3253,질병관리청인가요? 자가격리와 관련되서 궁금한 것이 있습니다.,코로나 치료 약은 개발되지 않았어요.
3254,음식은 어떻게 해야 하나요?,허위 판매에요. 구매 하면 안됩니다.
3255,"혹여나, 국가 기관의 지원은 전혀 없습니까?",질병관리청 상담원 OOO이었습니다.
3256,옆집 아저씨가코로나 증상이 나타나는 것 같습니다.,말씀해주신 지역은 여행이 가능해요.
3257,저는 무엇을 해야 합니까?,출국 또는 입국을 금지하고 있지 않아요.
3258,코로나 시국의 삶이 힘이 듭니다.,"공통점으로, 폐라는 공통점이 있습니다."
3259,코로나 관하여 정보를 얻는 방법에는 어떤것이 있나요?,"정확히, 증명된 것이 없습니다."
3260,그건 저도 찾는데요. 그것말고 정리된 파일은 없나요?,코로나 관련 약은 아직 개발되지 않았습니다. 
3261,자가격리에 대하여 문의가 있습니다.,위법 판매에요. 구매하시면 안됩니다.
3262,밥은 어떻게 먹을 수 있습니까?,"좋은 시간 되셨기를 바라며, 질병관리청 OOO입니다."
3263,기관의 지원은 전혀 없나요?,위 국가는 여행목적으로는 여행이 가능해요.
3264,친한 친구가코로나 감염 증상이 나타나는 것 같습니다.,출극 및 입국 금지 공지를 받은적이 없어요.
3265,저는 괜찮은 건가요?,폐와 관련이 있다는 공통점이 있습니다.
3266,코로나 시대에 삶이 힘이 듭니다.,"정확하게는, 증명된 연구가 없습니다."
3267,반갑습니다. 코로나19 백신상품을 판매해도 되나요?,코로나 관련 약은 개발되지 않았습니다.
3268,현재 판매하고있는 백신은 어떤것 인가요?,거짓 판매입니다. 구매 하면 안되요.
3269,여행 갈려고 하고 싶은데 코로나19 때문에 불안한데 갔다와도 되나요?,"네, 질병관리청 상담원 OOO입니다."
3270,확진자가 많이 발생하는데도요?,해당 국가는 여행목적으로는 여행이 가능합니다.
3271,"혹시, 담배와 코로나는 무슨 연관이 있나요?",출국 또는 입국을 금지하고 있지 않습니다.
3272,"그렇다면, 전자 담배를 피우면 코로나에 걸릴 위험이 있습니까?","서로, 폐와 관련이 있습니다."
3273,코로나 관련하여 정보를 얻는 방법에는 어떤것이 있나요?,"완벽하게, 판명된 연구가 없다고 알려져 있어요."
3274,"아니, 홈페이지 말고 정리된 파일은 없습니까?",그것과 관련된 정보는 질병관리청 홈페이지에 있어요.
3275,질병관리청인가요? 자가격리로 질문이 있는데요.,정리되어 있는 정보 파일은 제공하고 있지 않습니다.
3276,식사는 어떻게 해결합니까?,개인이 스스로 해결해야 해요.
3277,"혹여나, 정부 기관의 도움은 전혀 없나요?",있어요. 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 거주지로 배달해 드립니다.
3278,친구가코로나 감염 증세가 나타나는 것 같아요.,"일단, 증상이 심하시면 병원으로 보내야 합니다."
3279,저는 괜찮은 겁니까?,빠르게 보건소에 가셔서코로나 진단 검사를 받아야 해요.
3280,코로나 생활이 힘이 듭니다.,조금만 참고 기다려 주시면 감사하겠습니다.
3281,여보세요? 코로나19 치료제상품을 판매해도 됩니까?,마스크와 관련된 정보는 질병관리청 홈페이지에 접속하셔서 상세 메뉴에 들어가시면 있어요.
3282,지금 판매 중이고 있는 약은 어떤것 인가요?,정리된 자료 파일은 미제공 하고 있습니다.
3283,여행 가려는데 코로나 때문에 좀 불안한데 다녀와도 됩니까?,개인이 해결해야 합니다.
3284,확진자가 많이 발생하는 것을 아시고 말씀하시는거 맞죠?,"아, 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 전달합니다."
3285,코로나와 담배는 관계가 있나요?,"우선, 신속하게 병원으로 보내야 합니다."
3286,"그렇다면, 전다담배를 태우면 코로나에 걸릴 리스크가 증가하나요?",빨리 보건소에 가셔서코로나 진단 검사를 받아서 이상여부를 확인해야 합니다.
3287,코로나에 관하여 정보를 찾고 싶습니다.,국가에서 최선을 다해서 코로나를 저지하고 있습니다.
3288,그건 저도 찾는데요. 그것말고 정리된 파일은 없나요?,그것과 관련된 정보는 질병관리청 홈페이지에 접속하시면 확인하실 수 있어요.
3289,질병관리청 맞나요? 자가격리와 관련해서 질문이 있습니다.,파일 자료는 제공하고 있지 않아요.
3290,아침은 어떻게 해결합니까?,개인이 해결해야 해요.
3291,"혹시, 정부의 도움은 전혀 없습니까?",있습니다. 자가격리 하시면 기본적으로 2주치 물품을 국가에서 지원해드려요.
3292,직장 상사가코로나 증상이 나타나는 것 같아요.,"우선, 증상이 심하시면 병원으로 보내야 합니다."
3293,저는 괜찮나요?,가까운 보건소에 가셔서코로나 검사를 받아야 해요.
3294,코로나 삶이 힘들어요.,국가에서 최선을 다해서 코로나를 저지하고 있습니다.
3295,코로나19에 관련하여정보를 찾고 싶습니다.,그 내용은 질병관리청 홈페이지에 있어요.
3296,정리되어 있는 것은 없습니까?,양식이 있는 파일 자료는 제공하지 않고 있어요.
3297,질병관리청입니까? 자가격리에서 질문이 있어요.,개인이 알아서 해결해야 해요.
3298,음식은 어떻게 해야 먹을 수 있나요?,있습니다. 자가격리에 들어가시면 2주치 생필품을 거주지에 전달해드려요.
3299,"혹여나, 기관의 도움은 없나요?","우선, 병원으로 보내야 합니다."
3300,동료가코로나 증세가 발생하는데요.,가까운 보건소에 가셔서코로나 진단을 받아서 이상여부를 확인해야 해요.
3301,저는 괜찮나요?,어려운 시대에 잘 버텨주셔서 아주 감사합니다.
3302,코로나 생활이 힘이 듭니다.,마스크 관련 정보는 질병관리청 홈페이지에 있습니다.
3303,안녕하십니까? 코로나 치료제상품을 판매해도 됩니까?,정리된 파일은 제공하고 있지 않아요.
3304,"그렇다면, 현재 판매 중이고 있는 약은 어떤것 입니까?",개별적으로 알아서 해결해야 해요.
3305,여행 가려는데 코로나 때문에 많이 불안한데 다녀와도 되나요?,"아, 자가격리에 들어가시면 기본적으로 2주치 물품을 국가에서 전달합니다."
3306,확진자가 많이 발생하는 것을 아시고 말씀하시는거 맞죠?,"우선, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 해요."
3307,전자담배와 코로나는 관계가 있습니까?,빨리 보건소로 가셔서코로나 검사를 받아야 합니다.
3308,"그렇다면, 담배를 피우고 있으면 코로나에 걸릴 리스크가 있습니까?",조금만 참고 기다려 주시면 감사하겠습니다.
3309,코로나19 관하여 정보를 찾고 싶은데요?,마스크 정보는 질병관리청 홈페이지에 접속하시면 있습니다.
3310,그것말고 정리된 파일은 없나요?,정리되어 있는 자료 파일은 제공하지 않고 있습니다.
3311,질병관리청 맞습니까? 자가격리에 대하여 문의가 있어요.,개별적으로 해결해야 합니다.
3312,밥은 어떻게 해야 먹을 수 있나요?,아니요 있습니다. 자가격리에 들어가시면 2주치 생필품을 정부에서 전달해드립니다.
3313,"혹여나, 국가의 도움은 없습니까?","먼저, 증상이 안 심하시면 집으로 보내면 됩니다."
3314,친한 친구가코로나 감염 증세가 발생하고 있어요.,근처 보건소로 가셔서코로나 진단 검사를 받아서 확인해야 해요.
3315,저는 괜찮은 겁니까?,정부에서 최선을 다해서 코로나를 저지하고 있습니다.
3316,코로나 시국의 삶이 힘들어요.,그 정보에 대한 내용은 질병관리청 홈페이지에 접속하시면 확인하실 수 있습니다.
3317,코로나19 관련하여 정보를 얻고 싶은데요?,정리되어 있는 파일은 미제공 하고 있어요.
3318,"아니, 그것말고 정리된 파일은 없습니까?",개인별로 해결해야 합니다.
3319,질병관리청 상담센터 맞나요? 자가격리에서 문의가 있는데요.,있어요. 자가격리 하시면 기본적으로 2주치 물품을 국가에서 전달합니다.
3320,끼니는어떻게 먹을 수 있습니까?,"먼저, 병원으로 보내야 해요."
3321,"혹시, 정부 기관의 도움은 전혀 없습니까?",가까운 보건소에 가셔서코로나 진단을 받으셔야 해요.
3322,옆집 아줌마가코로나 감염 증세가 나타나는 것 같아요.,정부에서는 최대한의 자원을 활용하여 코로나를 방어하고 있습니다. 
3323,저는 무엇을 해야 합니까?,그것은 질병관리청 홈페이지에 들어가시면 있습니다.
3324,코로나 삶이 힘들어요.,자료는 없어요.
3325,코로나19 관련하여 정보를 얻을 방법은 어떤 것이 있나요?,개인별로 해결해야 해요.
3326,아니요. 파일로 된 것은 없나요?,"아, 자가격리에 돌입하시면 2주치 생필품을 전달해드립니다."
3327,질병관리청 맞습니까? 자가격리와 관련되서 문의가 있어요.,"일단, 병원으로 보내야 합니다."
3328,식사는 어떻게 먹을 수 있나요?,가까운 보건소로 가셔서 코로나 진단 검사를 받아서 이상여부를 확인해야 합니다.
3329,"혹여나, 정부 기관의 지원은 전혀 없습니까?",어려운 시대에 잘 버텨주셔서 아주 감사합니다.
3330,친구가코로나 감염 증상이 나타나는데요.,코로나 치료 약은 현재 개발된 것이 없습니다.
3331,저는 어떻게 해야 하나요?,불법 판매에요. 구매하시면 절대 안됩니다.
3332,코로나 시대에 삶이 힘이 듭니다.,감사합니다. 질병관리청 OOO입니다.
3333,코로나19 관하여 정보를 얻는 방법에는 무엇이 있습니까?,말씀해주신 국가는 해당 목적으로 방문이 가능합니다.
3334,그건 저도 찾는데요. 그것말고 정리된 파일은 없나요?,출국 또는 입국을 금지하고 있지 않습니다.
3335,질병관리청 상담센터 맞나요? 자가격리에 대해서 문의가 있습니다.,"교점으로, 폐와 관련이 있습니다."
3336,점심은 어떻게 해결하나요?,"완벽하게는, 검증된 것이 없다고 알고 있습니다."
3337,국가 기관의 지원은 전혀 없나요?,그 정보는 질병관리청 홈페이지에 있습니다.
3338,친구가코로나 감염 증세가 나타나는 것 같아요.,정리되어 있는 파일은 없어요.
3339,저는 괜찮습니까?,개인이 스스로 해결해야 해요.
3340,코로나 시대에 삶이 힘이 듭니다.,아니요. 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 국가에서 지원해드려요.
3341,코로나 관하여 정보를 얻는 방법에는 무엇이 있나요?,"우선, 증상이 심하시면 병원으로 보내야 합니다."
3342,"아니, 일자별 파일로 정리된 정보는 없습니까?",가까운 보건소에 가셔서코로나 진단 검사를 받아서 이상유무를 확인해야 해요.
3343,질병관리청 맞나요? 자가격리와 관련되서 질문이 있는데요.,정부에서는 최선을 다하고 있습니다.
3344,밥은 어떻게 해결합니까?,코로나 관련 약은 아직 개발되지 않았어요.
3345,국가 기관의 도움은 야예 없습니까?,불법 판매에요. 구매하시면 절대 안됩니다.
3346,동료가코로나 증상이 나타나는 것 같아요.,감사합니다. 질병관리청 상담원 OOO입니다.
3347,저는 괜찮습니까?,말씀하신 국가는 해당 목적으로 방문이 가능해요.
3348,코로나 시국의 삶이 힘이 듭니다.,출극 및 입국 금지 공지를 받은적이 없어요.
3349,안녕하십니까? 코로나 치료약상품을 판매해도 됩니까?,"교점으로, 폐에 영향을 준다는 것이 있습니다."
3350,"그렇다면, 판매하고있는 치료제는 어떤것 입니까?","완벽하게는, 증명된 것이 없습니다."
3351,여행 갈려고 하고 싶은데 코로나19 때문에 불안한데 갔다와도 됩니까?,그 정보에 대한 내용은 질병관리청 홈페이지에 있어요.
3352,확진자가 엄청 나오는 데 인데 말씀입니까?,양식이 있는 자료 파일은 제공하지 않습니다.
3353,담배와 코로나는 무슨 관계가 있나요?,개인이 해결해야 해요.
3354,"그렇게 된다면, 전다담배를 태우면 코로나에 걸릴 리스크가 있습니까?","아, 자가격리에 들어가시면 2주치 생필품을 국가에서 지원해드려요."
3355,반갑습니다. 코로나 치료제상품을 판매해도 됩니까?,"일단, 증상이 안 심하시면 집으로 보내면 되요."
3356,"그럼, 현재 판매하는 치료제는 무엇입니까?",빨리 보건소로 가셔서코로나 진단 검사를 받아서 이상유무를 확인해야 합니다.
3357,여행 다녀올라고 하는데 코로나 때문에 좀 불안하긴 한데 다녀와도 되나요?,국가에서 최선을 다해서 코로나를 저지하고 있습니다.
3358,확진자가 엄청 나오는 데도요?,코로나 관련 약은 개발되지 않았어요.
3359,코로나와 전자담배는 무슨 연관이 있습니까?,위법 판매 입니다. 구매하시면 절대 안됩니다.
3360,"그렇다면, 전자담배를 태우고 있으면 코로나에 걸릴 리스크가 증가합니까?","유익한 시간 되셨길 바라며, 질병관리청 OOO입니다."
3361,코로나에 관련하여정보를 찾고 싶습니다.,말씀하신 지역은 여행목적으로는 방문이 가능해요.
3362,그건 저도 찾는데요. 파일로 된 것은 없습니까?,입국 또는 출국 금지에 대한 법이 없습니다.
3363,질병관리청입니까? 자가격리와 관련해서 궁금한게 있는데요.,폐와 관련이 있습니다.
3364,점심은 어떻게 해야 합니가?,"완벽하게는, 판명된 것이 없습니다."
3365,"혹여나, 정부의 지원은 없습니까?",그것과 관련된 정보는 질병관리청 홈페이지에 접속하셔서 상세 메뉴에 들어가시면 있어요.
3366,회사 직원이코로나 증상이 발생하고 있습니다.,양식이 있는 파일 자료는 미제공 하고 있습니다.
3367,저는 괜찮나요?,개별적으로 알아서 해결해야 해요.
3368,코로나 시대에 삶이 힘이 듭니다.,"아하, 자가격리 하시면 2주치 생필품을 국가에서 전달해드립니다."
3369,코로나에 관하여 정보를 얻을 방법은 어떤 것이 있나요?,"일단, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 해요."
3370,"아니, 그것말고 정리된 파일은 없나요?",근처 보건소에 가셔서코로나 검사를 받으셔야 합니다.
3371,질병관리청 상담센터 맞나요? 자가격리와 관련되서 질문이 있어요.,국가에서는 최대한 노력하고 있습니다.
3372,끼니는어떻게 먹을 수 있습니까?,마스크 관련 정보는 질병관리청 홈페이지에 접속하셔서 상세 메뉴에 들어가시면 있어요.
3373,"혹시, 정부 기관의 지원은 아예 없습니까?",정리되어 있는 파일은 미제공 하고 있습니다.
3374,직장 상사가코로나 감염 증상이 나타나고 있습니다.,개인이 해결해야 해요.
3375,저는 어떻게 해야 합니까?,아니요. 자가격리에 들어가시면 기본적으로 2주치 물품을 국가에서 지원해드려요.
3376,코로나 생활이 힘들어요.,"우선, 증상이 심하시면 병원으로 보내야 해요."
3377,코로나 치료제는 나오나요?,가까운 보건소로 가셔서 코로나 검사를 받아서 확인해봐야 해요.
3378,언제 개발되나요?,정부에서 최선을 다해서 코로나를 저지하고 있습니다.
3379,아그래요? 어떤 약인가요?,코로나 치료 약은 아직 개발된 것이 없습니다.
3380,코로나 예방 백신은 있을까요?,허위 판매입니다. 구매 하시는 것을 반대해요.
3381,코로나에서 회복되면 면역이 생기나요?,감사합니다. 질병관리청 OOO입니다.
3382,그럼 코로나에 걸리면 치료비는 누가내나요?,해당 지역은 여행목적으로는 여행이 가능해요.
3383,PC방에 너무 가고 싶은데 가도 되나요?,규칙상으로 문제되는 것은 없습니다.
3384,손소독만 잘 하면 되는거 아닌가요?,"교점으로, 폐와 관련이 있다는 공통점이 있습니다."
3385,마스크 구매하고 싶은데 품절이라 구매가 불가한데 어디에서 구매 해야 하나요?,"완벽하게는, 판명된 연구가 없어요."
3386,두개만 가지고 살 수 있어요?,코로나 치료 약은 현재 개발된 것이 없어요.
3387,썻던 마스크를 또 써도 되는거에요?,허위 판매에요. 구매하시면 안되요.
3388,찝찝한데 어디에서 살 수 있어요?,감사합니다. 질병관리청 OOO입니다.
3389,다이소나 인터넷에서 사는것도 가능해요?,말씀해주신 지역은 해당 목적으로 방문이 가능합니다.
3390,마스크에 대해 문의좀 할게요~,출극 및 입국 금지 공지를 받은적이 없습니다.
3391,마스크가 너무 비싼대 한번만 쓰고 버려야 하나요?,"교집합으로, 폐에 영향을 준다는 것이 있습니다."
3392,두번씩은 못쓰는거에요?,"완벽하게는, 증명된 연구가 없다고 알려져 있어요."
3393,방향이 따로 있어요?,마스크와 관련된 정보는 질병관리청 홈페이지에 접속하시면 확인하실 수 있어요.
3394,주름이 아래로 가게 해야 되는 이유가 따로 있어요?,파일 자료는 미제공 하고 있어요.
3395,벗을때는 어떻게 해야 하는데여?,개인이 스스로 해결해야 합니다.
3396,이유는요?,"아하, 자가격리에 들어가시게 되면 2주치 생필품을 정부에서 지원하도록 하고 있습니다."
3397,안녕하세요. 무엇을 도와드릴까요?,"우선, 증상이 심하시면 병원으로 보내야 합니다."
3398,"안녕하세요, 약대에서 공부하는 학생인데 뭣 좀 여쭤봐도 될까요?",근처 보건소에 가셔서코로나 진단 검사를 받아서 확인해야 합니다.
3399,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,정부에서는 최대한의 자원을 활용하여 코로나를 방어하고 있습니다. 
3400,둘 다 알려주실 수 있나요?,코로나 관련 약은 개발되지 않았습니다.
3401,사용된 약품에 의한 2차 감염을 막기 위함인가요?,불법 판매에요. 구매하시면 절대 안되요.
3402,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,질병관리청 OOO입니다.
3403,어떤 의미에서 복잡한거죠?,말씀해주신 국가는 여행목적으로는 방문이 가능합니다.
3404,대충이라도 말해주시면 감사하겠습니다.,법률상으로 문제되는 것이 없습니다.
3405,안녕하세요. 무엇을 도와드릴까요?,"함께, 폐와 관련이 있다는 공통점이 있습니다."
3406,"안녕하세요, 약대에서 공부하는 학생인데 뭣 좀 여쭤봐도 될까요?","완벽하게, 검증 된 연구가 없어요."
3407,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,마스크와 관련된 정보는 질병관리청 홈페이지에 있어요.
3408,둘 다 알려주실 수 있나요?,정리된 정보는 미제공 하고 있습니다.
3409,사용된 약품에 의한 2차 감염을 막기 위함인가요?,개인이 스스로 해결해야 합니다.
3410,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,있습니다. 자가격리 하시면 2주치 생필품을 전달해드립니다.
3411,어떤 의미에서 복잡한거죠?,"먼저, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 해요."
3412,대충이라도 말해주시면 감사하겠습니다.,근처 보건소에 가셔서코로나 진단을 받아서 이상유무를 확인해야 해요.
3413,어느 부분이 복잡한거죠?,조금만 참고 기다려 주시면 감사하겠습니다.
3414,안녕하세요. 무엇을 도와드릴까요?,코로나 치료 약은 현재 개발되지 않았어요.
3415,"안녕하세요, 코로나에서 공부하는 학생인데 뭣 좀 여쭤봐도 될까요?",거짓 판매입니다. 구매 하면 안됩니다.
3416,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,"좋은 시간 되셨기를 바라며, 질병관리청 OOO입니다."
3417,둘 다 알려주실 수 있나요?,위 국가는 여행목적으로는 방문이 가능합니다.
3418,사용된 약품에 의한 2차 감염을 막기 위함인가요?,규칙상으로 문제되는 것은 없습니다.
3419,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,"공통점으로, 폐라는 공통점이 있습니다."
3420,어떤 의미에서 복잡한거죠?,"완벽하게는, 검증된 것이 없다고 알려져 있어요."
3421,대충이라도 말해주시면 감사하겠습니다.,그 정보에 대한 내용은 질병관리청 홈페이지에 들어가시면 있어요.
3422,그건 문제가 없어보이는데요?,정리된 자료는 제공하고 있지 않습니다.
3423,안녕하세요. 무엇을 도와드릴까요?,개인별로 해결해야 해요.
3424,"안녕하세요, 궁금한게 있는데 뭣 좀 여쭤봐도 될까요?",아니요. 자가격리에 들어가시게 되면 기본적으로 2주치 물품을 국가에서 지원해드려요.
3425,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,"먼저, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 합니다."
3426,둘 다 알려주실 수 있나요?,가까운 보건소로 가셔서 코로나 진단을 받아서 확인해야 합니다.
3427,2차 감염을 막기 위함인가요?,국가에서 최선을 다해서 코로나를 저지하고 있습니다.
3428,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,코로나 치료 약은 아직 개발된 것이 없습니다.
3429,어떤 의미에서 복잡한거죠?,위법 판매 입니다. 구매하시면 안되요.
3430,예를 들어주실 수 있나요?,"감사의 인사를 올리며, 상담원 OOO이에요."
3431,안녕하세요. 무엇을 도와드릴까요?,말씀해주신 지역은 여행이 가능해요.
3432,"안녕하세요, 코로나에 대해 칼람을 쓰려고 하는데 뭣좀 여쭤봐도 될까요?",법률상으로 문제되는 것이 없어요.
3433,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,폐와 연관되어 있습니다.
3434,둘 다 알려주실 수 있나요?,"완벽하게는, 판명된 연구가 없다고 알고 있습니다."
3435,왜 바로 폐기하나요?,코로나 치료 약은 개발되지 않았어요.
3436,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,허위 판매입니다. 구매 하시는 것을 반대해요.
3437,어떤 의미에서 복잡한거죠?,"네, 질병관리청 OOO이에요."
3438,대충이라도 말해주시면 감사하겠습니다.,해당 지역은 여행목적으로는 여행이 가능해요.
3439,안녕하세요. 무엇을 도와드릴까요?,규칙상으로 문제되는 것은 없어요.
3440,"안녕하세요, 약대에서 공부하는 학생인데 뭣 좀 여쭤봐도 될까요?","함께, 폐와 연관되어 있습니다."
3441,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,증명된 것이 없습니다.
3442,둘 다 알려주실 수 있나요?,그것과 관련된 정보는 질병관리청 홈페이지에 들어가시면 있어요.
3443,사용된 약품에 의한 2차 감염을 막기 위함인가요?,정리된 자료는 제공하지 않아요.
3444,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,개별적으로 해결해야 합니다.
3445,어떤 의미에서 복잡한거죠?,아니요 있습니다. 자가격리에 돌입하시면 기본적으로 2주치 물품을 정부에서 지원합니다.
3446,대충이라도 말해주시면 감사하겠습니다.,"우선, 증상이 심하시면 병원으로 보내시고, 안심하시면 집으로 보내야 해요."
3447,안녕하세요. 무엇을 도와드릴까요?,빨리 보건소에 가셔서코로나 검사를 받아서 확인해야 합니다.
3448,"안녕하세요, 약대에서 공부하는 학생인데 뭣 좀 여쭤봐도 될까요?",국가에서 최선을 다해서 코로나를 저지하고 있습니다.
3449,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,코로나 치료 약은 개발되지 않았어요.
3450,둘 다 알려주실 수 있나요?,거짓 판매에요. 구매 하면 안되요.
3451,사용된 약품에 의한 2차 감염을 막기 위함인가요?,질병관리청 상담원 OOO입니다.
3452,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,말씀해주신 국가는 해당 목적으로 여행이 가능해요.
3453,어떤 의미에서 복잡한거죠?,출국 또는 입국을 금지하고 있지 않습니다.
3454,대충이라도 말해주시면 감사하겠습니다.,"교집합으로, 폐가 나빠지는다는 것이 있습니다."
3455,어느 부분이 복잡한거죠?,"완벽하게는, 검증된 것이 없다고 알려져 있어요."
3456,안녕하세요. 무엇을 도와드릴까요?,코로나 관련 약은 개발되지 않았어요.
3457,"안녕하세요, 코로나에서 공부하는 학생인데 뭣 좀 여쭤봐도 될까요?",불법 판매입니다. 구매하시면 절대 안됩니다.
3458,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,이상 질병관리청 OOO이에요.
3459,둘 다 알려주실 수 있나요?,해당 국가는 해당 목적으로 방문이 가능해요.
3460,사용된 약품에 의한 2차 감염을 막기 위함인가요?,출극 및 입국 금지 공지를 받은적이 없어요.
3461,그렇다면 환자에 대한 약품처리는 어떻게 되나요?,"공통으로, 폐에 영향을 준다는 것이 있습니다."
3462,어떤 의미에서 복잡한거죠?,"완벽하게, 검증된 것이 없습니다."
3463,대충이라도 말해주시면 감사하겠습니다.,코로나 치료 약은 아직 개발된 것이 없어요.
3464,그건 문제가 없어보이는데요?,허위 판매에요. 구매 하시는 것을 반대해요.
3465,안녕하세요. 무엇을 도와드릴까요?,"예, 질병관리청 OOO입니다."
3466,"안녕하세요, 궁금한게 있는데 뭣 좀 여쭤봐도 될까요?",말씀해주신 국가는 해당 목적으로 여행이 가능해요.
3467,전염병이 확산될 시에는 약품처리를 어떻게 하나요?,입국 또는 출국 금지에 대한 법이 없어요.
3468,둘 다 알려주실 수 있나요?,"공통점으로, 폐라는 공통점이 있습니다."
