q,a
그럼 저는 어떻게 해야 하지요?,"마스크 착용, 대인 접촉 자제, 거리 두기 등을 하는 유지 하면서 코로나 예방을 하는 것이 중요하다 말씀드리고 싶습니다."
코로나 팬데믹은 언제 끝날 수 있을 까요? 궁금해요.,공식적으로는 말씀드릴 수 없는 점 양해 부탁 드립니다.
그럼 질문을 바꿔보죠. 우리나라에 백신이 언제 들어올 것 같아요?,정확하지 않아 말씀 드릴 수 없습니다.
"진짜, 우리나라 머하고 있죠? 백신이 나왔다는데 가져오지도 못하고 개발도 못하고 뭐하는 겁니까?",대한민국은 코로나 종식 및 국민의 일상 생활로 돌아갈 수 있도록 노력하고 있습니다.
죄송해요. 너무 화가나서 그렇게 했습니다. ,아닙니다. 고객님 이만 통화를 종료하도록 하겠습니다.
질병관리청의 상담센터 맞나요?,무엇 때문에 질병관리청에 연락주셨나요?
제가 일하는 현장에서 코로나 확진자가 나왔다고 합니다. 어떻게 해야 할지를 몰라서 연락드렸습니다. 어떻게 하면 되나요?,친절한 상담으로 도움을 드리겠습니다. 하지만 몇가지 질문을 드려야 답변을 원활히 진행할 수 있을 것 같습니다.
이거 인터넷에 안나가는 것 맞지요?,"안심하셔도 됩니다. 선생님, 개인정보는 외부로 공개되어 지지 않습니다. 또한 사람을 특정 사람을 식별 할 수 없습니다."
그렇다면 믿고 상담 받다도 되겠군요. 알겠습니다. 질문 주세요.,그렇다면 첫번째 질문입니다. 그 분과 같은 장소에 있으신 적이 있나요?
같은 방을 썻지요.,다음 질문을 드리겠습니다. 마스크를 착용하지 않은 상태로 같이 있으셨는가요?
마스크는 항상 쓰고 있었어요. 저는 마스크를 절 때 안 벗거든요.,다행입니다. 그렇다면 세번째인 마지막 질문 드리도록 하겠습니다. 
얼마든지 오케이입니다.,고열 또는 흉부압박 또는 기침 등의 코로나 증상이 나타나고 있으신가요?
"잘은 모르겠는데, 그렇게 말씀하시니까 열이 조금 있는 것같기도 하구요.",빠르게 근처 보건소에 가보시는 것을 추천 드립니다. 코로나 검사를 받아 보셔야 합니다. 
정말 방문 해야 합니까?,타인을 위해서라도 꼭 검사를 받아야 합니다. 
그럼 가보도록 하겠습니다. 별일이 있겠습니까.,"네 선생님, 이상 상담을 마치도록 하겠습니다. 질병관리청 상담원 OOO 이었습니다. "
코로나 관련 문의로 전화드렸는데요.,무슨 문의가 있어서 연락드렸습니까? 질병관리청 상담센터입니다.
질병관리청에서 공식적으로 제공하는 코로나 확진자 수를 알고 싶습니다. ,신규 확진자는 367명 발생했습니다.
어제 집계되서 오늘 발표된 확진자 수 말고 지금 실시간으로 발생하고 있는 확진자 수를 말하는 거에요. ,실시간 확진자 수는 질병관리청에서 공식적으로 제공하고 있지 않습니다.
아프리카에 실시간 방송으로 오늘 몇 명 나오는지 알려주고 있어요. 그럼 그건 뭐죠?,질병관리청에서 공식적으로 하루 신규 확진자 수 정보를 제공 안하는 것으로 알고 있습니다. 
사기 정보라고 말씀하시는 겁니까?,그렇습니다. 
놀랍군요. 그렇다면 실시간 환자 수랑 사망자 수도 같이 공개 하던데 그것도 가짜일 확률이 높겠네요?,높은 확률로 거짓일 가능성이 높습니다.
어는 어디서 정보를 얻어야지 신뢰된 데이터다 라고 할 수 있나요?,신뢰되는 정보는 질병관리청 홈페이지를 확인하시면 얻으실 수 있습니다.
그럼 다른 질문이 있는데요. 흡연자는 코로나에 잘 걸리나요?,정확하게는 없다고 알고 있습니다.
아주 만족 할만한 답변이었습니다.,추가적인 문의 사항은 없으신 겁니까?
없어요. ,"좋은 시간 되셨기를 바라며, 질병관리청 상담원 OOO 이었습니다. 통화를 종료하겠습니다."
코로나 감염병에 대한 백신이 나왔다고 뉴스에 나오던데 사실인가요?,백신 관련 질문이 맞으신가요?
코로나 백신 관련 질문입니다.,백신이 개발되었다고 알고 있습니다.
이제 이 지긋지긋한 감염병과 안녕 할 수 있는 건가요?,감염병의 확산과 백신의 개발은 다르게 봐야 합니다.
무슨 말도 안되는 소리에요?,백신 생산이 원활하게 이루어 지지 않고 있기 때문으로 알고 있습니다.
그럼 긴장의 끈은 놓지 말아야 한다? 이말씀을 하고 싶은 것 인가요?,"안탁까운 말씀이지만, 코로나는 아직 종식되지 않았습니다."
무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,"마스크를 잘 쓰고 다니시고, 대인 접촉을 피하는 방법 밖에는 없는 것 같습니다."
"좋아요. 좋아 그렇다 치고, 코로나는 언제 끝날 것 같습니까?",죄송합니다. 아직 미정입니다.
"그렇다면, 코로나 백신은 언제 쯤 구경할 수 있을까요?","백신 개발은 이루어 지고 있으나, 언제 개발이 완료될 지는 알 수 없습니다."
한국은 머해요?,대한민국은 코로나 방어를 위하여 노력하고 있습니다. 또한 백신 개발 및 공수에도 많은 노력을 기울이고 있습니다.
너무 이기적이였던 것 같습니다. 사과드립니다.,아닙니다. 선생님 이만 통화를 종료하도록 하겠습니다. 상담원 OOO 이었습니다.
질병관리청의 상담센터 맞나요?,반갑습니다. 질병관리청 상담센터입니다. 어떤 질문이 있으신가요?
코로나 확진자가 근처에 있습니다. 어떻게 하면 좋죠?,도움을 드리기 전에 사실을 확인해야 할 사항이 있습니다. 
제가 안전하기 위해서는 꼭 말씀드려야 겠는 것이겠지요?,원칙적으로 외부로 개인정보를 유출하지 않습니다. 
"네 그럼, 믿고 상담받아 보겠습니다.",믿음에 보답하는 질병관리청이 되도록 하겠습니다. 고객님 께서는 의심자 또는 증상자 또는 확진 판정자와 같은 장소에서 활동하신 적이 있으십니까?
여러 명이서 같이 카페에 갔었습니다. ,"예, 다음 질문입니다. 마스크를 착용하지 않고 수다 또는 접촉이 있으셨나요?"
마스크 안쓰면 벌금이잖아요. 그래서 안벗고 있었죠. 나는 코로나 걸리기 싫거든요.,정말 다행이십니다. 그렇다면 마지막 질문을 드리고 도움을 드리도록 하겠습니다.
예 그렇게 해주세요.,코로나 관련 증상 들이 발현된 적 있습니까?
열이 조금 있습니다. 그런데 막 심하지는 않은 것 같아요.,빠르게 근처 보건소에 가보시는 것을 추천 드립니다. 코로나 검사를 받아 보셔야 합니다. 
진짜 가야되요? 가면 돈 내야 한다면서요. 아직 괜찮은 것 같기도 한데요.,어쩔 수 없습니다. 선생님 꼭 검사를 받아보셔야 합니다. 
그럼 가보도록 하겠습니다. 별일이 있겠습니까.,도움 되는 정보를 제공해 드렸기를 바랍니다. 상담원 OOO 이었습니다.
안녕하십니까. OO대학의 학생입니다. 궁금한 것이 있어서 연락했어요.,안녕하십니까? 질병관리청의 상담센터 입니다. 무슨 업무를 도와드릴까요?
코로나 확진자 수를 알고 싶어서 전화드렸는데요?,확진자는 376명이 신규 확진 되었음을 확인하였습니다.
그것 말구요. 지금 실시간으로 나오는 신규 확진자요. 그게 궁금해서요.,"고객님 죄송합니다면, 저희는 금일의 실시간 확진자 정보를 제공하고 있지 않고 있습니다."
인터넷에 보면 나오던데요. 사이트에서 제공하고 있던데요.,그런 정보는 들은 적이 없습니다. 질병관리청에서 실시간으로 신규 확진자 정보를 제공한다는 정보 말입니다.
그럼 그것들이 모두 사기에요?,맞습니다. 정확하지 않은 정보 입니다.
"실시간이 모두 거짓 이였다니. 완치자, 환자, 모두 거짓이겠네요?","제가 직접 보지는 않았지만, 질병관리청에서 공식정보를 제공하고 있지 않기 때문에 거짓 정보일 확률이 높다고 생각됩니다. 고객님"
믿기 어려운 세상이네요. 그럼 저는 어떤 정보를 믿어야 되죠?,"질병관리청의 홈페이지에 들어오시면, 신규 확진자, 현재 환자 수 등의 공식적인 정보를 얻으실 수 있습니다."
그럼 다른 질문이 있는데요. 흡연자는 코로나에 잘 걸리나요?,아직 공식적으로 나온 답변은 없는 것으로 알고 있습니다.
사실은 제가 흡연자인데 이 말씀을 들으니 안심이 되네요.,추가적인 문의 사항은 없으신 겁니까?
답변을 너무 잘 받아서 추가 질문이 없어요.,질병관리청 상담센터 OOO이었습니다. 감사합니다. 
코로나 백신이 나왔다는 것이 사실입니까?,백신 관련 질문이 맞으신가요?
코로나 백신에 대하여 질문드린 것이 맞아요.,"코로나 백신은 미국 또는 중국,러시아 등의 국가에서 개발되었다고 알고 있습니다."
이제 이 지긋지긋한 감염병과 안녕 할 수 있는 건가요?,코로나는 백신이 출시 되었다고 해서 끝날 감염병이 아니라고 생각됩니다.
왜 그런거죠?,코로나 백신의 완치율이 90%가 안되고 보급률이 떨어지기 때문입니다. 
코로나 시국은 계속 된다는 말씀이시군요.,예 맞습니다. 선생님
무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,코로나 예방 수칙을 지키셔야 할 것 같습니다.
"수용하지요, 다 수용하는데 그럼 물어보죠. 언제 끝나요?",공식적으로는 말씀 드릴 수 없습니다.
"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?","백신 개발은 이루어 지고 있으나, 언제 개발이 완료될 지는 알 수 없습니다."
그럼 우리나라는 뭐하고 있어요?,질병관리청을 포함하여 각 기관은 코로나 방어를 위하여 열심히 노력하고 있습니다.
죄송합니다. 제가 너무 머라고 한 것 같아요.,아닙니다. 노력하는 질병관리청이 되도록 하겠습니다. 질병관리청의 OOO 이었습니다.
상담이 필요한데요. 이상하다 생각마시고요. 질병관리청이 맞죠?,질병은 연구하는 질병관리청입니다. 무엇을 도와드리면 되겠습니까?
저희 회사에서 코로나 확진자가 나왔는데요. 어떻게 해야 하나요?,문의의 답변을 도와드리기 위해서는 몇 가지 사실을 알아야 합니다. 따라서 사실 관계 파악에 응해주시면 감사하겠습니다. 
막 개인정보 털리고 그런건 아니겠지요?,걱정하지 않으셔도 됩니다. 저희 질병관리청은 개인정보를 함부로 다루지 않습니다.
네 그렇게 하지요.,"그럼, 질문을 드리면 되겠군요? 증상자와 같은 장소에 있던 사례가 있나요?"
같은 방을 썻지요.,네 그렇군요. 그럼 다음 질문으로 넘어가도록 하겠습니다. 마스크를 착용했었나요?
이 시국에 마스크 안쓰면 거의 범죄라서 계속 쓰고 있지요.,세번째 질문을 드리도록 하겠습니다. 그런데 마스크를 잘 쓰고 다니셨군요.
조금만 빠른 답변 부탁드립니다. 가봐야 해서요.,"접촉 후 코로나 관련 증상이 나타나신 적이 있으신가요? 예를들면 고열, 기침 등의 증상입니다."
기침이 조금 나기는 했던 것 같아요.,죄송한 말씀이지만 코로나 관련 증상 들과 접촉 이력이 있기 때문에 대인 접촉을 최대한 피하시면서 근처 보건소에 방문 하시는 것을 추천드립니다.
꼭 해야 하나요? 솔직히 이것 때문에 연락드렸는데. 안받고 싶어서요.,선생님을 위해서라도 꼭 받아 보시는 것을 추천드립니다. 
그럼 가보도록 하겠습니다. 별일이 있겠습니까.,"네 선생님, 이상 상담을 마치도록 하겠습니다. 질병관리청 상담원 OOO 이었습니다. "
여기가 코로나 상담 해주는 곳이 맞나요?,질병관리청 전문 상담센터입니다. 무슨 일을 도와드릴까요?
질병관리청에서 공식적으로 제공하는 코로나 확진자 수를 알고 싶습니다. ,오늘의 신규 확진자 수는 312명 입니다. 
저의 말끼를 잘 못 알아 드신 것 같은데요. 궁금한건 실시간 확진자 수에요.,질병관리청에서는 신규 확진자 정보를 실시간으로 제공하고 있지 않습니다. 
어떤 싸이트 들어가면 금일 신규 확진자 수 나오고 하는데 그건 뭡니까?,처음 듣는 이야기 인 것 같습니다. 저희 기관에서는 실시간으로 신규 확진자를 제공하고 있지 않다고 알고 있습니다.
와 대중매체에서 사기를 치고 있네요?,공식적으로 제공하지 않으니 맞는 말씀입니다.
실시간으로 제공되는 것은 다 가짜라는 이야기군요.,"본 기관에서는 공식 자료를 제공하고 있지 않으니, 공식적인 정보는 아니라는 것은 확실합니다."
그럼 저는 어떤 정보를 믿어야 하는 것이죠?,KBS의 9시 뉴스를 보시면 매일 집계 되서 나오는 확실한 정보를 얻으실 수 있습니다.
조금 뜬금 없는 질문일 건데요. 담배 피는 사람은 코로나에 잘걸려요? ,정확하게는 없다고 알고 있습니다.
좋은 답변 고마워요.,추가적인 질문은 없으신가요?
정확하게 답변 해주셔 가지고 추가적인 질문은 업습니다.,감사합니다. 상담원 OOO 이었습니다.
사람들이 코로나 백신 나왔다고 코로나 종식됬다고 하던데 맞나요?,코로나 백신 출시에 관련된 질문이 맞으신지 다시한번 확인하겠습니다. 맞습니까?
맞아요. 제가 백신에 관련되서 질문했어요.,현재 각 국가에서 코로나 백신을 개발했다고 알고 있습니다.
드디어 코로나 바이러스 시대가 종식 된건가요?,코로나 백신 개발이 완료 되었어도 팬데믹이 끝난 것이 아닙니다.
왜요?,"백신의 치료율이 검증 불투명한 제품이 있을 뿐더러, 보급률이 현저히 떨어지기 때문입니다."
계속 코로나랑 같이 살아야 한다고요?,"안탁까운 말씀이지만, 코로나는 아직 종식되지 않았습니다."
무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,"여행을 삼가하시고, 마스크를 쓰는 등의 예방이 가장 중요할 것 같습니다."
좋아요. 그럼 코로나는 언제 끝날 것 같나요?,언제 끝날지는 아직 알 수 없습니다.
"그렇다면, 우리나라에 백신은 언제 구경 할 수 있을까요?",말씀 드리기 어려운 질문입니다. 
맨날 정치권에서 싸우기만 하는게 나라인가요? 너무한거 아니에요? 백신도 못구하고,국가에서는 코로나를 종식시키기 위해서 열심히 노력하고 있습니다. 
그렇죠. 아이고 힘드니까 별 말을 다하네요. ,아닙니다. 고객님 이만 통화를 종료하도록 하겠습니다.
질병관리청에 연락드리는데요. 상담센터니까 물어봐도 되죠?,네 선생님 질병관리청입니다. 무엇을 도와드리면 되겠습니까?
코로나 확진자가 근처에 있습니다. 어떻게 하면 좋죠?,일단 침착 하시고 제 질문에 답해주세요.
"알고 봤더니, 기사에 나오고, OO모씨라고 하는데 특정 인물 식별할 수 있고 그런건 아닌 것 맞습니까?",걱정하지 않으셔도 됩니다. 저희 질병관리청은 개인정보를 함부로 다루지 않습니다.
네 알겠습니다. 그럼 성심껏 답변에 답하겠습니다. ,믿음에 보답하는 질병관리청이 되도록 하겠습니다. 고객님 께서는 의심자 또는 증상자 또는 확진 판정자와 같은 장소에서 활동하신 적이 있으십니까?
여행을 같이 간적이 있습니다. 좀 멀리요. ,"예, 다음 질문입니다. 마스크를 착용하지 않고 수다 또는 접촉이 있으셨나요?"
마스크를 계속 쓰고 있던 것으로 기억해요.,다행입니다. 그렇다면 세번째인 마지막 질문 드리도록 하겠습니다. 
요점만 빠르게 부탁드립니다.,코로나 관련한 증상 징후가 있으신 적이 있으십니까? 최근 2일 내에
어제 열이 조금 많이 났었어요.,그럼 질문을 마치도록 하겠습니다. 선생님 께서는 코로나 증상이 의심되시니 가까운 보건소에 가셔서 코로나 검사를 받는 것을 추천 드립니다. 
코로나 진단 검사를 받아보라구요? 아니에요 나는 멀쩡해요. 괜찮아 진 것 같기도 합니다.,선생님을 위해서라도 꼭 받아 보시는 것을 추천드립니다. 
이렇게 말씀 하시니 안 갈 수가 없겠는데요.,안내 가 잘 이루어 졌기를 바랍니다. OOO 이었습니다.
"제가 코로나 관련해서 궁금한 사항들이 있는데, 여기 전화하면 되는 것이 맞나요?",반갑습니다. 국민과 함께하는 건강 질병관리청입니다. 무엇을 도와드릴 까요?
금일 코로나 확진자 수가 엄청나게 많다고 알고 있습니다. 확진자 수가 궁금해서 연락드렸어요. ,오늘의 신규 확진자 수는 312명 입니다. 
실시간 확진자 수를 의미하는 것이였다만. ,실시간 정보는 제공되고 있지 않습니다. 신규 확진자 정보는 매일 오전에 발표되는 것이 전부입니다.
인터넷에서 실시간 확진자 수를 제공하고 있던데 이건 뭐죠?,실시간 신규 확진자 수 정보를 제공하지 않고 있다고 알고 있습니다. 질병관리청 공식적으로는 말씀입니다.
그럼 그것들이 모두 사기에요?,논리적인 답에 감탄을 금치 못하겠습니다. 맞습니다. 고객님
믿을 세상이 못되는 구만. 그럼 실시간 정보는 모두 것짓 이라고 보는 것이 맞겠네요?,거짓일 가능성이 매우 높은 정보입니다.
제가 데이터를 써야하는데 어디서 믿음직한 정보를 얻을 수가 있을까요?,"유튜브의 보건복지부 채널에 오시면 질병관리청의 실시간 브리핑을 보실 수 있는데, 그곳에서 신뢰성 높은 정보를 얻으실 수 있을 것 같습니다."
아직 끊지 마세요. 길게 말하시고 끊는 사람이 있어서요. 다른 문의가 있는데요. 흡연자는 코로나 걸릴 가능성이 높나요?,공식적으로 확인 된 사실은 없습니다.
좋은 답변 고마워요.,추가적인 질문은 없으신가요?
정확하게 답변 해주셔 가지고 추가적인 질문은 업습니다.,질병관리청 상담센터 OOO이었습니다. 감사합니다. 
코로나 백신이 나온 것이 맞아요?,코로나 백신에 대해여 질문 주신것 맞죠?
오우 아주 정확하게 되물으셔서 깜짝 놀랐네요.,몇 몇 국가에서 코로나 백신 관련하여 개발이 완료되었음을 선포 하였습니다.
코로나 시대의 종말이 찾아왔나요?,코로나 시대는 아직 끝나지 않았습니다. 백신이 개발 되었음에도 불구하고.
왜요?,코로나 완지가 하루 아침에 이루지지 않기 때문입니다. 
코로나 시국은 계속 된다는 말씀이시군요.,"유감스러운 말씀이지만, 맞습니다."
무엇을 해야 하나요? 점점 희망이 사라져 같은데요?,"여행을 삼가하시고, 마스크를 쓰는 등의 예방이 가장 중요할 것 같습니다."
좋아요. 그럼 코로나는 언제 끝날 것 같나요?,죄송합니다. 정확하게 말씀드릴 수 없습니다. 왜냐하면 언제 끝날지 모르기 때문입니다.
아아 제가 말을 잘못했네요. 우리나라에 백신은 언제 들어요죠?,질문에 대한 답변을 해드릴 수 없습니다.
그럼 우리나라는 뭐하고 있어요?,질병관리청을 포함하여 각 기관은 코로나 방어를 위하여 열심히 노력하고 있습니다.
맞죠. 그렇죠. 우리나라 좋은 나라죠. 제가 너무 머라고 많이 한 것 같네요. 죄송합니다.,아닙니다. 고객님 이만 통화를 종료하도록 하겠습니다.
조금 특이한 코로나 관련 질문이 있는데요?,어떤 문의가 있으신가요?
제가 있는 학교에서 코로나 학생이 발견되었습니다. 어떻게 하면 되죠?,친절한 상담으로 도움을 드리겠습니다. 하지만 몇가지 질문을 드려야 답변을 원활히 진행할 수 있을 것 같습니다.
지금 막 불안한 상태이기는 한데 말씀드리면 되는거죠? 몇가지 물어본다고 하는게 더 불안해 지는 것 같기도 한데요?,걱정하지 않으셔도 됩니다. 질병관리청은 개인정보 보호를 철저히 하고 있습니다.
알겠습니다. 질문 해 주세요.,고객님께서의 활동에서 그 분과 같은 공간에 존재하신 적이 있으십니까?
"같이 밥도 먹고, 차도 마시고 할거 다 했습니다. ",다음 입니다. 같이 계시면서 마스크를 착용하고 있으셨나요?
미세먼지가 끼어져 있는 날씨라서 무조건 끼고 다니고 있었습니다. ,"다행입니다. 선생님, 세번째 질문 드리겠습니다. "
얼마든지 오케이입니다.,관련자와 접촉 후 코로나 관련 증상들이 나타나신 적이 있으신가요?
"잘은 모르겠는데, 그렇게 말씀하시니까 열이 조금 있는 것같기도 하구요.",코로나 감염 증상이 나타나시는 것 같은데요. 코로나 검사를 받아보시는 것을 추천드립니다. 근처 보건소에 가시면 받아보실 수 있습니다.
정말 방문 해야 합니까?,코로나 검사는 무조건 받아보셔야 합니다. 
하 그렇게 말씀하신다면야 생각 좀 해보도록 하겠습니다.,질병관리청의 OOO 이었습니다. 감사합니다.
여기가 코로나 상담 해주는 곳이 맞나요?,안녕하십니까? 질병관리청의 상담센터 입니다. 무슨 업무를 도와드릴까요?
오늘 드디어 코로나 확진자 수가 폭발했다고 하는데 몇 명 정도 나왔나요?,오늘 종합된 국내 총 신규 확진자 수는 387명입니다. 
저의 말끼를 잘 못 알아 드신 것 같은데요. 궁금한건 실시간 확진자 수에요.,질병관리청에서는 신규 확진자 정보를 실시간으로 제공하고 있지 않습니다. 
신기하네요. 인터넷 방송에서는 잘 가르쳐 주는데요. 기부하면 실시간으로 알려주기도 해요.,본 기관에서는 하루 신규 확진자 정보를 제공 하지 않고 있습니다. 공식적으로.
정확하지 않은 정보를 제공하고 있었군요?,맞습니다. 
그렇군요. 그럼 사망자 수도 아니겠네요?,거짓일 가능성이 매우 높은 정보입니다.
저는 무슨 정보를 얻어야지 공식적이고 믿음직한 정보를 얻었다고 할 수 있나요?,정확한 정보를 얻고 싶으시다면 질병관리청 홈페이지를 참고해서 하시면 될 것 같습니다.
잠시만요. 다른 문의가 있는데요. 흡연자는 코로나에 잘 감염되다는 것이 사실이에요?,그것에 관해서는 공식적인 정보가 업습니다.
감사합니다. 덕분에 마음이 조금 놓이는 군요. 사실 제가 흡연자이거든요.,질문이 더 없으십니까?
없습니다. 이 정도면 충분해요.,질병관리청 상담센터 OOO이었습니다. 감사합니다. 
인터넷 뉴스에서 코로나 백신 나왔다고 이제 코로나 없다고 마스크 벗고 다니는데 백신 진짜로 나온 것 맞아요?,네 고객님 코로나 백신 말씀이신가요?
백신 관련 질문이에요. ,"코로나 관련된 백신은 현재 미국, 중국, 러시아, 영국에서 개발 되었다고 공식적으로 나와 있습니다."
코로나 바이러스 걱정을 안해도 되는 건가요? ,코로나는 백신이 출시 되었다고 해서 끝날 감염병이 아니라고 생각됩니다.
왜인가요? 백신 개발 완료됬잖아요?,코로나 백신의 완치율이 90%가 안되고 보급률이 떨어지기 때문입니다. 
그럼 긴장의 끈은 놓지 말아야 한다? 이말씀을 하고 싶은 것 인가요?,안탁깝지만 맞습니다.
"지금 처럼, 대인 접촉 피하고, 마스크 쓰고, 어디 못가고 그렇겠네요?",코로나 예방 수칙을 준수하셔서 예방하는 방법 밖에 없는 것 같습니다.
제가 궁금한건 이 코로나 상황이 언제 쯤 끝날 수 있냐는 겁니다. 매우 궁금해요. 도대체 언제 끝나죠?,언제 끝날지는 아직 알 수 없습니다.
아아 제가 말을 잘못했네요. 우리나라에 백신은 언제 들어요죠?,다시 한번 말씀드릴 수 없는 말씀을 드립니다.
"우리나라는 뭘 하고 있길래, 백신이 언제 들어온다 말도 못하는 겁니까?",국가에서는 모든 자원과 역량을 동원하여 코로나를 막고 있습니다.
제가 너무 했던 것 같네요. 사과드립니다. ,아닙니다. 노력하는 질병관리청이 되도록 하겠습니다. 질병관리청의 OOO 이었습니다.
질병관리청의 상담센터 맞나요?,네 선생님 질병관리청입니다. 무엇을 도와드리면 되겠습니까?
제가 있는 학원에서 코로나 의심환자가 나왔어요. 어떻게 해야하질가 막막한데 어떻게 하면 되나요?,안내를 도와드리겠습니다. 그 전에 침착하게 답변을 도와주시면 감사하겠습니다. 
이거 인터넷에 안나가는 것 맞지요?,상담 내용은 저장되긴 하나 외부로 유출 또는 외부 공개를 하지 않고 있습니다.
믿고 상담 받아보겠습니다. 만에하나 외부로 상담 내용이 유출이 되서 저한테 피해가 온다면 가만 안있을거에요.,"그럼, 그 사람과 같은 장소에서 식사 또는 음료 또는 마스크를 쓰지 않은 채 말을 하신 적이 있으신가요?"
제가 같이 있을 수 밖에 없는 상황에 있었어서 같이 있었어요.,네 그렇군요. 그럼 다음 질문으로 넘어가도록 하겠습니다. 마스크를 착용했었나요?
마스크를 계속 쓰고 있던 것으로 기억해요.,세번째 질문을 드리도록 하겠습니다. 그런데 마스크를 잘 쓰고 다니셨군요.
조금만 빠른 답변 부탁드립니다. 가봐야 해서요.,"그럼, 선생님은 코로나 증상이 발현되고 있으신가요?"
어제 감기몸살 같은 기운이 나기는 했어요. 열나고 기침하고 몸에 힘이 없고.,안탁까운 말씀이지만 근처 보건소에 가셔서 진단을 받아 보시는 편이 좋을 것 같다고 생각됩니다. 
진짜 가야되요? 가면 돈 내야 한다면서요. 아직 괜찮은 것 같기도 한데요.,"코로나 진단 검사는 의사 판단하에 무료로 검사 받을 수 있으니, 꼭 받아보 시길 바랍니다. 아프지도 않아요."
이렇게 말씀 하시니 안 갈 수가 없겠는데요.,상담원 OOO 이었습니다. 선생님의 용기가 세상을 바꿉니다.
코로나 문의가 있는데요. 이곳에 전화하는 것이 맞나요?,무슨 문의가 있어서 연락드렸습니까? 질병관리청 상담센터입니다.
오늘 코로나 확진자 수가 많다고 하던데 코로나 확진자 수는 몇명정도 되지요?,오늘 집계된 금일 총 확진자 수는 387명이 발생했습니다.
"제가 그것을 몰라서 말씀드리는 줄 아시나본데, 그것 말고 신시간 확진자 수를 말 하는거에요. 지금 발생하고 있는것 말하는 거라구요.","실시간 신규 확진 자 수는 제공하고 있지 않고, 어제 집계된 신규 확진자 수만 제공하고 있습니다."
유튜브에서 실시간으로 확진자 몇 명 나오는지 알려주는 곳이 있어요. 이거 맞지 않나요?,저희 기관에서는 실시간으로 하루 확진자 수 정보를 제공하고 있지 않고 있습니다.
사기네요?,아주 정확한 말씀이군요.
그렇군요. 그럼 사망자 수도 아니겠네요?,거짓 정보일 확률이 매우 높은 것으로 생각됩니다. 
상담원님이 저라면 어떻게 정보를 얻을려고 하겠어요?,"유튜브의 보건복지부 채널에 오시면 질병관리청의 실시간 브리핑을 보실 수 있는데, 그곳에서 신뢰성 높은 정보를 얻으실 수 있을 것 같습니다."
"잠깐, 다른 것인데요. 아는 사람이 흡연자인데 코로나에 걸릴 확률이 높나요?",흡연보다는 사전에 예방하는 것이 코로나 감염병에 걸리 않는 것으로 알고 있습니다.
감사합니다.,더 질문하실 내용이 있으십니까?
없습니다. ,감사합니다. 상담원 OOO 이었습니다.
코로나 백신이 나온 것이 맞아요?,코로나 백신에 대해여 질문 주신것 맞죠?
정확 한데요. 맞습니다. ,몇 몇 국가에서 코로나 백신 관련하여 개발이 완료되었음을 선포 하였습니다.
코로나 바이러스 제사 지내주면 되나요?,아닙니다. 백신은 완벽하게 코로나를 끝낼 수 없습니다.
병에 약이 개발되었다고 하는데 그럼 끝 아니에요?,백신이 개발되었다고 해서 국내에 보급되기 어렵기 때문입니다. 
잘 알아 먹지 못하겠는데요. 요약하면 이말이죠? 코로나가 끝난 것이 아니다.,맞습니다. 아직 까지는 코로나 감염병이 종식되지 않았습니다.
백신 개발 되었다고 엄청 좋아했는데. 아니네요?,예방이 가장 최선의 방법인 것 같습니다.
"수용하지요, 다 수용하는데 그럼 물어보죠. 언제 끝나요?",전화 상담 상에서는 말씀 드리기 어려운 질 문 같습니다.
그럼 질문을 바꿔보죠. 우리나라에 백신이 언제 들어올 것 같아요?,다시 한번 말씀드릴 수 없는 말씀을 드립니다.
"우리나라는 뭘 하고 있길래, 백신이 언제 들어온다 말도 못하는 겁니까?",국가에서는 모든 자원과 역량을 동원하여 코로나를 막고 있습니다.
제가 너무 했던 것 같네요. 사과드립니다. ,감사합니다. 질병관리청의 상담센터 OOO 이었습니다. 
문의가 있어서 연락드렸는데요. 질병관리청이 맞죠?,어떤 문의로 질병관리청의 상담센터에 연락을 주셨나요?
제가 일하는 현장에서 코로나 확진자가 나왔다고 합니다. 어떻게 해야 할지를 몰라서 연락드렸습니다. 어떻게 하면 되나요?,정성껏 답변을 드리는 질병관리청 상담센터입니다. 사실 관계 확인을 위하여 몇 가지 질문을 드리도록 하겠습니다.
내 개인정보가 침해 당할 수도 있다고는 생각하지만 별수 없겠지요?,개인정보는 고객님께서 동의 하에만 이용 가능하기 때문에 염려하지 않으셔도 됩니다.
네 알겠습니다. 그럼 성심껏 답변에 답하겠습니다. ,감사합니다. 믿음에 답하도록 하겠습니다. 질문 드리겠습니다. 고객님께서 확진자 또는 의심자와 같은 장소에서 있으신 적이 있나요?
저녁 먹었었어요. 같이 포함 3명이서요.,네 그렇군요. 그럼 다음 질문으로 넘어가도록 하겠습니다. 마스크를 착용했었나요?
마스크는 안 벗고 있었습니다.,마지막 질문을 드린 뒤에 답변을 주시면 안내를 도와드리도록 하겠습니다.
네 그렇게 하세요.,관련자와 접촉 후 코로나 관련 증상들이 나타나신 적이 있으신가요?
